90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.472,0.553,2.0,0.471,0.556
0.466,0.555,1.0,0.472,0.553
0.463,0.54,1.0,0.466,0.555
0.459,0.548,0.0,0.463,0.54
0.447,0.549,1.0,0.459,0.548
0.445,0.541,0.0,0.447,0.549
0.443,0.543,0.0,0.445,0.541
0.437,0.557,0.0,0.443,0.543
0.44,0.568,0.0,0.437,0.557
0.439,0.562,0.0,0.44,0.568
0.445,0.562,0.0,0.439,0.562
0.455,0.575,0.0,0.445,0.562
0.447,0.565,0.0,0.455,0.575
0.448,0.578,0.0,0.447,0.565
0.445,0.582,0.0,0.448,0.578
0.45,0.571,0.0,0.445,0.582
0.456,0.582,0.0,0.45,0.571
0.449,0.578,0.0,0.456,0.582
0.452,0.581,1.0,0.449,0.578
0.445,0.587,0.0,0.452,0.581
0.454,0.6,1.0,0.445,0.587
0.476,0.617,1.0,0.454,0.6
0.458,0.591,0.0,0.476,0.617
0.453,0.597,1.0,0.458,0.591
0.453,0.582,1.0,0.453,0.597
0.472,0.565,2.0,0.453,0.582
0.492,0.577,2.0,0.472,0.565
0.503,0.598,2.0,0.492,0.577
0.505,0.608,2.0,0.503,0.598
0.477,0.59,2.0,0.505,0.608
0.484,0.607,2.0,0.477,0.59
0.471,0.624,1.0,0.484,0.607
0.466,0.615,1.0,0.471,0.624
0.47,0.616,1.0,0.466,0.615
0.469,0.607,2.0,0.47,0.616
0.471,0.599,2.0,0.469,0.607
0.478,0.587,1.0,0.471,0.599
0.49,0.583,2.0,0.478,0.587
0.496,0.588,2.0,0.49,0.583
0.501,0.573,1.0,0.496,0.588
0.515,0.572,1.0,0.501,0.573
0.532,0.571,1.0,0.515,0.572
0.519,0.578,1.0,0.532,0.571
0.505,0.583,1.0,0.519,0.578
0.503,0.598,2.0,0.505,0.583
0.498,0.595,1.0,0.503,0.598
0.493,0.587,1.0,0.498,0.595
0.464,0.585,1.0,0.493,0.587
0.476,0.586,1.0,0.464,0.585
0.484,0.603,1.0,0.476,0.586
0.478,0.602,1.0,0.484,0.603
0.475,0.588,1.0,0.478,0.602
0.462,0.588,2.0,0.475,0.588
0.461,0.588,1.0,0.462,0.588
0.461,0.596,2.0,0.461,0.588
0.463,0.601,0.0,0.461,0.596
0.469,0.594,1.0,0.463,0.601
0.457,0.576,1.0,0.469,0.594
0.435,0.558,1.0,0.457,0.576
0.432,0.544,0.0,0.435,0.558
0.428,0.528,0.0,0.432,0.544
